fecha,estacion,temp_max_c,temp_min_c,temp_media_c,precipitacion_mm,humedad_relativa_pct,radiacion_solar_mj,viento_ms,riesgo_helada,anio,mes
2015-02-18,Huangascar,17.01,4.86,9.82,1.96,68.6,23.4,3.19,0,2015,2
2015-02-19,Huangascar,16.71,2.71,8.59,0.21,75.51,26.49,3.02,0,2015,2
2015-02-20,Huangascar,17.07,2.27,9.04,0.0,68.52,22.04,2.75,0,2015,2
2015-02-21,Huangascar,16.28,4.79,8.72,0.09,78.13,19.27,1.96,0,2015,2
2015-02-22,Huangascar,16.73,4.09,9.49,1.29,74.47,17.65,1.7,0,2015,2
2015-02-23,Huangascar,15.2,6.02,9.72,5.87,75.89,17.05,1.51,0,2015,2
2015-02-24,Huangascar,17.97,4.81,10.07,3.19,72.37,15.39,1.85,0,2015,2
2015-02-25,Huangascar,18.27,5.88,10.53,8.82,71.25,20.38,1.64,0,2015,2
2015-02-26,Huangascar,14.54,5.46,9.24,2.32,73.41,17.87,1.23,0,2015,2
2015-02-27,Huangascar,17.34,4.28,9.57,4.83,73.86,18.75,1.84,0,2015,2
2015-02-28,Huangascar,14.38,5.54,8.53,10.74,81.27,16.38,1.79,0,2015,2
2015-03-01,Huangascar,15.33,5.18,8.92,0.96,79.68,16.15,1.58,0,2015,3
2015-03-02,Huangascar,14.44,5.21,8.97,1.49,78.9,13.57,1.23,0,2015,3
2015-03-03,Huangascar,16.38,6.17,10.01,0.34,76.27,17.16,1.23,0,2015,3
2015-03-04,Huangascar,16.83,6.2,9.47,4.79,78.88,17.83,1.73,0,2015,3
2015-03-05,Huangascar,14.33,5.78,8.98,7.66,80.23,16.61,1.28,0,2015,3
2015-03-06,Huangascar,15.97,5.56,9.51,1.03,78.83,14.66,1.63,0,2015,3
2015-03-07,Huangascar,15.94,6.3,9.95,0.04,78.02,17.57,1.12,0,2015,3
2015-03-08,Huangascar,18.09,6.29,10.9,0.0,73.85,16.5,1.56,0,2015,3
2015-03-09,Huangascar,18.69,6.33,11.19,0.59,71.44,18.98,1.67,0,2015,3
2015-03-10,Huangascar,16.58,7.42,10.6,0.2,72.02,18.22,1.94,0,2015,3
2015-03-11,Huangascar,18.85,6.05,11.17,0.01,68.8,16.11,1.98,0,2015,3
2015-03-12,Huangascar,15.8,6.41,10.12,0.26,75.51,20.54,0.79,0,2015,3
2015-03-13,Huangascar,17.97,6.24,10.81,0.01,70.66,17.48,1.38,0,2015,3
2015-03-14,Huangascar,17.33,6.74,10.63,0.0,67.09,16.77,1.6,0,2015,3
2015-03-15,Huangascar,17.59,4.77,9.78,0.04,71.34,16.75,1.84,0,2015,3
2015-03-16,Huangascar,16.88,5.59,9.97,0.01,73.44,15.31,1.36,0,2015,3
2015-03-17,Huangascar,17.62,4.23,10.01,0.21,74.69,15.95,1.48,0,2015,3
2015-03-18,Huangascar,17.34,4.4,9.6,0.24,77.75,14.35,1.36,0,2015,3
2015-03-19,Huangascar,16.84,3.98,9.08,0.11,78.01,13.42,1.59,0,2015,3
2015-03-20,Huangascar,15.38,5.0,9.11,5.31,80.85,16.29,1.51,0,2015,3
2015-03-21,Huangascar,14.25,5.31,8.99,9.66,82.07,11.84,1.08,0,2015,3
2015-03-22,Huangascar,16.68,4.31,9.04,0.82,73.6,17.31,1.64,0,2015,3
2015-03-23,Huangascar,15.98,3.37,8.88,1.72,73.43,14.23,1.25,0,2015,3
2015-03-24,Huangascar,16.49,2.77,8.6,1.86,76.12,16.98,1.86,0,2015,3
2015-03-25,Huangascar,15.67,4.34,8.68,0.44,75.61,13.82,2.08,0,2015,3
2015-03-26,Huangascar,16.37,3.69,8.55,0.07,65.34,21.21,2.31,0,2015,3
2015-03-27,Huangascar,17.05,2.08,8.76,0.73,68.05,22.05,2.41,0,2015,3
2015-03-28,Huangascar,16.51,4.87,9.15,0.16,68.38,17.77,2.52,0,2015,3
2015-03-29,Huangascar,17.69,3.48,9.45,0.0,71.83,19.77,2.35,0,2015,3
2015-03-30,Huangascar,16.47,4.68,9.26,0.0,72.76,21.0,2.23,0,2015,3
2015-03-31,Huangascar,17.6,3.05,9.29,0.94,68.4,21.49,1.88,0,2015,3
2015-04-01,Huangascar,15.9,5.12,9.2,0.89,70.3,14.68,1.89,0,2015,4
2015-04-02,Huangascar,17.37,5.28,10.19,0.88,68.99,18.77,1.82,0,2015,4
2015-04-03,Huangascar,18.48,5.96,10.42,0.02,69.98,20.31,2.18,0,2015,4
2015-04-04,Huangascar,16.42,5.89,9.23,0.04,73.85,17.27,1.33,0,2015,4
2015-04-05,Huangascar,15.63,4.73,9.12,0.0,71.97,13.09,1.12,0,2015,4
2015-04-06,Huangascar,17.36,6.17,10.52,0.07,67.83,16.77,1.7,0,2015,4
2015-04-07,Huangascar,18.46,5.75,10.29,0.35,69.68,18.72,2.25,0,2015,4
2015-04-08,Huangascar,16.21,6.01,9.96,1.85,69.49,15.87,1.91,0,2015,4
2015-04-09,Huangascar,14.41,5.23,8.7,1.73,69.23,13.3,2.01,0,2015,4
2015-04-10,Huangascar,13.11,5.37,8.47,1.0,69.99,16.8,1.46,0,2015,4
2015-04-11,Huangascar,17.07,3.73,9.63,0.48,67.71,17.17,1.83,0,2015,4
2015-04-12,Huangascar,16.4,5.31,9.61,1.15,69.74,18.31,1.65,0,2015,4
2015-04-13,Huangascar,15.52,5.26,9.19,0.24,64.57,17.52,1.91,0,2015,4
2015-04-14,Huangascar,16.93,5.18,9.9,0.0,64.2,18.47,2.39,0,2015,4
2015-04-15,Huangascar,16.82,4.58,9.38,0.0,61.08,14.69,2.37,0,2015,4
2015-04-16,Huangascar,17.06,4.27,9.35,0.0,64.63,18.46,2.36,0,2015,4
2015-04-17,Huangascar,17.14,3.89,8.92,0.0,69.89,22.81,2.08,0,2015,4
2015-04-18,Huangascar,16.83,5.97,9.45,0.0,70.41,17.86,1.87,0,2015,4
2015-04-19,Huangascar,16.64,5.66,9.15,1.86,73.26,17.93,2.09,0,2015,4
2015-04-20,Huangascar,15.7,5.05,8.66,0.43,72.3,18.31,1.58,0,2015,4
2015-04-21,Huangascar,16.6,5.44,9.54,0.0,70.04,15.98,1.54,0,2015,4
2015-04-22,Huangascar,17.67,5.19,9.77,0.0,67.68,15.1,1.66,0,2015,4
2015-04-23,Huangascar,17.83,3.48,9.85,0.67,65.55,17.85,1.87,0,2015,4
2015-04-24,Huangascar,16.98,6.04,10.33,0.09,66.68,15.69,1.68,0,2015,4
2015-04-25,Huangascar,17.08,4.51,9.94,0.0,64.64,14.42,2.22,0,2015,4
2015-04-26,Huangascar,18.42,4.47,10.7,0.0,63.22,17.42,2.2,0,2015,4
2015-04-27,Huangascar,17.72,6.36,11.11,0.0,64.32,19.75,1.93,0,2015,4
2015-04-28,Huangascar,14.5,6.88,9.94,0.0,68.7,13.93,1.57,0,2015,4
2015-04-29,Huangascar,17.32,4.82,9.99,0.0,66.89,16.9,1.83,0,2015,4
2015-04-30,Huangascar,18.46,3.27,10.08,0.0,65.38,19.69,2.19,0,2015,4
2015-05-01,Huangascar,17.7,5.89,10.26,0.0,70.44,17.74,1.79,0,2015,5
2015-05-02,Huangascar,17.86,4.48,9.75,0.0,70.67,21.48,2.45,0,2015,5
2015-05-03,Huangascar,17.99,2.46,9.17,0.0,57.39,23.28,2.08,0,2015,5
2015-05-04,Huangascar,18.0,2.94,9.42,0.0,51.03,19.76,2.09,0,2015,5
2015-05-05,Huangascar,15.04,4.56,8.88,0.0,65.48,18.91,1.18,0,2015,5
2015-05-06,Huangascar,16.97,5.7,10.28,0.0,64.58,16.87,1.6,0,2015,5
2015-05-07,Huangascar,18.11,4.98,10.46,0.0,64.09,14.96,1.75,0,2015,5
2015-05-08,Huangascar,17.76,6.25,10.15,0.32,63.54,18.08,1.92,0,2015,5
2015-05-09,Huangascar,18.07,5.87,10.54,0.06,57.4,20.01,2.34,0,2015,5
2015-05-10,Huangascar,16.9,5.24,9.86,0.62,62.61,18.79,2.43,0,2015,5
2015-05-11,Huangascar,18.76,5.6,10.74,0.15,60.96,19.86,2.18,0,2015,5
2015-05-12,Huangascar,17.19,5.19,9.9,2.21,63.4,18.27,2.08,0,2015,5
2015-05-13,Huangascar,17.33,4.57,9.61,0.55,60.28,17.15,2.23,0,2015,5
2015-05-14,Huangascar,16.9,3.6,8.96,0.01,57.95,19.52,2.24,0,2015,5
2015-05-15,Huangascar,15.74,3.1,8.69,0.0,48.13,13.3,1.97,0,2015,5
2015-05-16,Huangascar,16.0,3.93,8.7,0.0,47.76,15.83,1.51,0,2015,5
2015-05-17,Huangascar,16.2,3.63,8.82,0.0,53.19,15.48,1.72,0,2015,5
2015-05-18,Huangascar,16.45,3.71,8.92,0.0,57.23,12.39,1.82,0,2015,5
2015-05-19,Huangascar,16.2,5.16,9.12,0.34,64.39,17.38,1.7,0,2015,5
2015-05-20,Huangascar,17.26,5.36,9.71,0.05,62.95,18.73,1.91,0,2015,5
2015-05-21,Huangascar,16.88,3.82,9.08,0.0,48.31,20.26,2.47,0,2015,5
2015-05-22,Huangascar,18.65,2.32,8.61,0.2,29.21,22.67,2.15,0,2015,5
2015-05-23,Huangascar,17.83,2.09,8.86,0.73,44.88,21.02,2.03,0,2015,5
2015-05-24,Huangascar,16.52,3.58,8.9,0.0,51.46,19.26,1.98,0,2015,5
2015-05-25,Huangascar,16.31,4.98,9.21,0.0,60.6,17.41,1.79,0,2015,5
2015-05-26,Huangascar,17.02,4.85,9.42,0.0,57.89,19.29,2.26,0,2015,5
2015-05-27,Huangascar,17.63,1.56,8.79,0.0,53.26,20.62,1.98,1,2015,5
2015-05-28,Huangascar,17.1,3.66,9.29,0.0,62.14,20.14,1.5,0,2015,5
2015-05-29,Huangascar,15.96,4.69,9.17,0.0,69.26,18.94,1.71,0,2015,5
2015-05-30,Huangascar,16.9,5.15,9.57,0.68,60.68,19.58,2.02,0,2015,5
2015-05-31,Huangascar,17.34,4.97,9.06,1.2,60.29,16.56,2.16,0,2015,5
2015-06-01,Huangascar,17.03,4.62,9.42,0.35,55.68,12.21,2.22,0,2015,6
2015-06-02,Huangascar,17.7,4.95,9.94,0.0,49.66,15.32,2.27,0,2015,6
2015-06-03,Huangascar,17.11,4.46,9.44,1.56,54.76,17.68,2.56,0,2015,6
2015-06-04,Huangascar,17.68,4.03,9.48,0.33,61.9,17.59,2.63,0,2015,6
2015-06-05,Huangascar,18.09,3.31,9.62,0.0,61.17,17.38,2.34,0,2015,6
2015-06-06,Huangascar,18.33,3.05,9.27,0.0,56.57,22.09,1.9,0,2015,6
2015-06-07,Huangascar,17.78,1.14,8.81,0.66,56.71,22.03,1.94,1,2015,6
2015-06-08,Huangascar,16.86,4.73,9.52,0.88,60.17,21.76,1.78,0,2015,6
2015-06-09,Huangascar,16.8,3.05,8.98,0.0,59.95,20.41,2.04,0,2015,6
2015-06-10,Huangascar,16.49,5.25,9.52,0.0,59.28,19.39,1.83,0,2015,6
2015-06-11,Huangascar,16.34,4.91,9.37,0.0,61.86,18.67,1.72,0,2015,6
2015-06-12,Huangascar,17.64,4.96,9.96,0.0,62.64,17.24,2.04,0,2015,6
2015-06-13,Huangascar,17.08,5.59,9.9,0.0,56.64,21.33,2.35,0,2015,6
2015-06-14,Huangascar,18.49,5.18,10.81,0.0,52.78,21.55,2.21,0,2015,6
2015-06-15,Huangascar,18.86,4.88,10.9,0.0,59.63,17.33,2.18,0,2015,6
2015-06-16,Huangascar,17.52,4.92,10.16,0.0,59.1,18.61,1.71,0,2015,6
2015-06-17,Huangascar,17.67,4.19,9.81,0.0,51.76,19.65,2.19,0,2015,6
2015-06-18,Huangascar,18.39,4.32,10.24,0.0,58.7,19.54,2.1,0,2015,6
2015-06-19,Huangascar,16.9,5.33,9.87,0.0,63.32,14.04,2.11,0,2015,6
2015-06-20,Huangascar,18.29,3.18,9.8,0.0,56.84,17.45,1.94,0,2015,6
2015-06-21,Huangascar,18.39,3.57,9.89,0.0,56.66,20.67,1.59,0,2015,6
2015-06-22,Huangascar,18.52,3.43,9.84,0.0,55.14,21.48,1.87,0,2015,6
2015-06-23,Huangascar,18.83,4.02,9.9,0.0,55.45,22.19,2.27,0,2015,6
2015-06-24,Huangascar,18.12,3.21,9.45,0.0,55.79,21.32,2.04,0,2015,6
2015-06-25,Huangascar,19.67,2.74,9.94,0.0,49.09,22.03,2.94,0,2015,6
2015-06-26,Huangascar,18.84,3.83,9.79,0.0,54.17,22.12,3.55,0,2015,6
2015-06-27,Huangascar,18.03,2.79,9.11,0.0,54.28,19.66,2.77,0,2015,6
2015-06-28,Huangascar,18.4,2.87,9.46,0.0,53.81,22.46,2.4,0,2015,6
2015-06-29,Huangascar,18.47,3.33,9.61,0.0,46.69,21.33,1.98,0,2015,6
2015-06-30,Huangascar,18.19,1.48,9.15,0.0,52.97,21.48,1.99,1,2015,6
2015-07-01,Huangascar,17.54,3.09,9.53,0.0,58.87,19.87,2.14,0,2015,7
2015-07-02,Huangascar,16.35,5.06,9.49,1.5,55.61,17.09,2.08,0,2015,7
2015-07-03,Huangascar,15.24,4.0,8.53,7.2,48.72,11.66,1.85,0,2015,7
2015-07-04,Huangascar,14.97,-0.72,6.74,0.56,44.82,17.97,2.16,1,2015,7
2015-07-05,Huangascar,13.93,2.3,6.79,0.03,31.0,21.31,2.25,0,2015,7
2015-07-06,Huangascar,13.94,0.78,6.25,0.04,32.57,22.64,2.35,1,2015,7
2015-07-07,Huangascar,16.24,0.26,6.42,0.0,26.21,23.22,2.67,1,2015,7
2015-07-08,Huangascar,16.64,-1.25,7.19,0.0,52.64,22.78,2.23,1,2015,7
2015-07-09,Huangascar,17.97,2.72,9.25,0.0,53.6,22.86,2.33,0,2015,7
2015-07-10,Huangascar,18.12,1.46,9.32,0.0,54.41,22.78,2.56,1,2015,7
2015-07-11,Huangascar,18.65,3.12,9.65,0.0,53.24,22.76,2.54,0,2015,7
2015-07-12,Huangascar,17.67,2.43,8.93,0.0,46.57,22.42,1.99,0,2015,7
2015-07-13,Huangascar,17.44,1.01,8.17,0.0,39.71,22.14,2.35,1,2015,7
2015-07-14,Huangascar,16.64,1.31,7.48,0.0,36.03,21.66,2.11,1,2015,7
2015-07-15,Huangascar,16.11,1.42,7.84,0.58,36.26,20.06,2.0,1,2015,7
2015-07-16,Huangascar,16.28,1.29,7.51,0.55,35.86,21.86,2.38,1,2015,7
2015-07-17,Huangascar,16.98,1.62,8.42,0.0,45.73,20.16,2.08,1,2015,7
2015-07-18,Huangascar,15.31,3.49,8.74,0.0,48.06,18.46,2.04,0,2015,7
2015-07-19,Huangascar,17.44,2.85,9.26,0.0,49.23,22.04,2.58,0,2015,7
2015-07-20,Huangascar,19.02,1.01,9.45,0.0,53.96,23.14,2.45,1,2015,7
2015-07-21,Huangascar,17.7,2.94,9.16,0.0,57.79,23.01,2.68,0,2015,7
2015-07-22,Huangascar,17.0,4.59,9.56,0.0,60.08,15.01,2.23,0,2015,7
2015-07-23,Huangascar,17.39,6.68,10.84,0.0,55.39,19.11,1.68,0,2015,7
2015-07-24,Huangascar,18.66,5.74,11.04,0.0,56.1,21.08,2.08,0,2015,7
2015-07-25,Huangascar,19.34,6.62,11.44,0.0,54.95,23.05,1.99,0,2015,7
2015-07-26,Huangascar,17.97,5.45,10.54,0.0,56.84,23.57,2.13,0,2015,7
2015-07-27,Huangascar,18.98,5.18,10.51,0.0,52.22,23.36,2.16,0,2015,7
2015-07-28,Huangascar,18.52,2.9,9.71,0.0,52.7,22.5,2.36,0,2015,7
2015-07-29,Huangascar,18.91,4.53,10.14,0.0,51.29,23.67,2.15,0,2015,7
2015-07-30,Huangascar,18.31,3.5,9.8,0.0,52.39,22.86,2.53,0,2015,7
2015-07-31,Huangascar,18.89,2.61,9.69,0.1,52.64,22.32,2.31,0,2015,7
2015-08-01,Huangascar,19.17,3.35,10.12,0.06,50.36,23.26,2.12,0,2015,8
2015-08-02,Huangascar,19.15,6.35,11.06,0.0,51.33,22.91,2.04,0,2015,8
2015-08-03,Huangascar,19.57,2.76,10.57,0.0,47.93,23.14,2.04,0,2015,8
2015-08-04,Huangascar,19.59,3.9,10.83,0.0,48.99,22.69,2.48,0,2015,8
2015-08-05,Huangascar,16.54,4.34,10.1,0.0,53.42,23.23,2.01,0,2015,8
2015-08-06,Huangascar,20.33,2.1,10.37,0.0,47.18,23.66,2.2,0,2015,8
2015-08-07,Huangascar,19.52,2.39,10.41,0.0,42.66,24.05,2.11,0,2015,8
2015-08-08,Huangascar,18.42,2.25,9.48,0.0,45.38,23.53,1.96,0,2015,8
2015-08-09,Huangascar,17.16,1.62,7.95,0.0,21.69,25.55,2.76,1,2015,8
2015-08-10,Huangascar,16.91,1.23,8.59,0.0,50.26,23.74,2.04,1,2015,8
2015-08-11,Huangascar,15.01,3.39,8.0,0.0,38.93,16.17,1.88,0,2015,8
2015-08-12,Huangascar,16.77,2.13,8.37,0.18,38.79,16.61,2.15,0,2015,8
2015-08-13,Huangascar,15.47,3.14,8.16,0.07,44.8,12.13,2.07,0,2015,8
2015-08-14,Huangascar,17.15,1.48,8.37,0.0,33.54,20.07,2.56,1,2015,8
2015-08-15,Huangascar,17.79,3.39,9.65,0.0,44.93,20.4,1.85,0,2015,8
2015-08-16,Huangascar,18.04,5.16,10.52,0.0,51.75,18.21,2.12,0,2015,8
2015-08-17,Huangascar,17.97,5.01,10.22,0.0,49.0,17.47,2.04,0,2015,8
2015-08-18,Huangascar,17.44,5.23,10.07,0.0,49.75,18.52,1.51,0,2015,8
2015-08-19,Huangascar,19.29,3.07,10.22,0.0,46.46,22.8,2.78,0,2015,8
2015-08-20,Huangascar,17.12,4.58,9.79,0.0,54.57,22.0,1.69,0,2015,8
2015-08-21,Huangascar,17.23,4.13,9.62,0.0,57.71,17.69,2.16,0,2015,8
2015-08-22,Huangascar,17.4,4.17,9.77,0.0,44.08,22.7,2.49,0,2015,8
2015-08-23,Huangascar,17.41,4.05,9.6,0.0,49.78,18.84,2.36,0,2015,8
2015-08-24,Huangascar,17.1,4.05,9.84,0.0,55.94,19.51,2.23,0,2015,8
2015-08-25,Huangascar,17.81,4.05,9.6,0.0,41.33,19.73,2.38,0,2015,8
2015-08-26,Huangascar,18.16,4.58,10.05,0.0,41.89,23.15,2.71,0,2015,8
2015-08-27,Huangascar,18.52,4.33,10.42,1.26,51.1,23.26,2.36,0,2015,8
2015-08-28,Huangascar,18.17,4.65,10.14,0.24,56.09,15.75,2.87,0,2015,8
2015-08-29,Huangascar,19.98,1.65,9.78,0.0,46.23,26.17,2.73,1,2015,8
2015-08-30,Huangascar,19.55,1.0,9.73,0.0,47.4,26.39,2.34,1,2015,8
2015-08-31,Huangascar,19.08,3.18,10.27,0.0,51.64,26.29,2.4,0,2015,8
2015-09-01,Huangascar,19.09,3.56,10.14,0.0,48.99,19.65,2.15,0,2015,9
2015-09-02,Huangascar,17.49,4.92,9.87,0.95,58.86,18.37,2.06,0,2015,9
2015-09-03,Huangascar,18.11,5.66,10.39,0.18,59.73,18.14,1.85,0,2015,9
2015-09-04,Huangascar,16.36,5.36,9.67,0.0,63.83,18.11,1.49,0,2015,9
2015-09-05,Huangascar,18.39,5.08,10.18,0.0,58.31,18.2,2.45,0,2015,9
2015-09-06,Huangascar,17.75,2.36,9.12,0.0,51.67,23.79,2.74,0,2015,9
2015-09-07,Huangascar,19.12,1.46,9.26,0.0,40.21,26.34,2.52,1,2015,9
2015-09-08,Huangascar,19.53,1.63,9.65,0.0,33.72,27.13,2.6,1,2015,9
2015-09-09,Huangascar,17.86,4.62,10.12,0.0,35.55,25.94,2.09,0,2015,9
2015-09-10,Huangascar,18.91,4.18,10.47,0.2,30.24,23.32,2.28,0,2015,9
2015-09-11,Huangascar,18.14,5.38,10.06,0.31,35.79,20.41,2.07,0,2015,9
2015-09-12,Huangascar,18.57,4.44,10.64,0.01,35.8,23.34,2.6,0,2015,9
2015-09-13,Huangascar,15.02,6.01,9.47,0.0,55.08,18.23,1.66,0,2015,9
2015-09-14,Huangascar,16.99,5.53,10.14,0.0,62.05,19.59,1.9,0,2015,9
2015-09-15,Huangascar,20.79,5.92,11.98,0.0,46.5,24.42,1.95,0,2015,9
2015-09-16,Huangascar,20.09,4.78,11.64,0.0,50.31,27.17,2.18,0,2015,9
2015-09-17,Huangascar,19.57,5.2,11.61,0.0,49.06,24.2,2.15,0,2015,9
2015-09-18,Huangascar,19.02,5.27,11.1,0.0,53.67,20.56,2.22,0,2015,9
2015-09-19,Huangascar,20.25,6.03,11.96,0.0,51.69,20.08,2.13,0,2015,9
2015-09-20,Huangascar,18.58,6.44,11.05,0.0,54.16,21.98,2.28,0,2015,9
2015-09-21,Huangascar,19.34,6.51,11.82,0.0,53.26,22.29,2.09,0,2015,9
2015-09-22,Huangascar,19.42,7.16,12.07,0.0,56.3,19.83,1.8,0,2015,9
2015-09-23,Huangascar,18.5,6.18,10.69,13.86,59.75,17.85,2.27,0,2015,9
2015-09-24,Huangascar,16.58,4.8,9.77,5.83,62.24,16.66,2.16,0,2015,9
2015-09-25,Huangascar,17.69,5.58,10.77,0.0,59.2,18.21,2.31,0,2015,9
2015-09-26,Huangascar,18.55,6.09,10.94,0.0,44.15,17.37,2.66,0,2015,9
2015-09-27,Huangascar,19.04,3.14,10.69,0.0,40.87,27.46,2.55,0,2015,9
2015-09-28,Huangascar,18.87,5.2,10.91,0.0,51.45,24.25,2.88,0,2015,9
2015-09-29,Huangascar,18.19,3.42,9.78,0.0,37.04,26.48,2.59,0,2015,9
2015-09-30,Huangascar,17.28,3.43,8.98,0.0,34.53,21.71,2.68,0,2015,9
2015-10-01,Huangascar,17.83,4.03,9.83,0.0,42.8,22.49,2.47,0,2015,10
2015-10-02,Huangascar,17.04,4.24,9.47,1.16,54.0,22.24,1.98,0,2015,10
2015-10-03,Huangascar,17.96,3.01,9.81,0.2,50.9,23.81,2.43,0,2015,10
2015-10-04,Huangascar,18.48,5.96,10.44,0.0,59.9,19.39,2.61,0,2015,10
2015-10-05,Huangascar,18.64,6.28,11.56,0.28,55.96,20.3,2.16,0,2015,10
2015-10-06,Huangascar,16.6,6.73,10.77,0.18,60.26,19.31,1.41,0,2015,10
2015-10-07,Huangascar,19.26,5.99,11.91,0.01,55.22,24.34,2.3,0,2015,10
2015-10-08,Huangascar,19.87,4.65,11.04,0.0,43.88,26.35,2.95,0,2015,10
2015-10-09,Huangascar,18.41,4.66,10.28,0.0,46.91,28.87,2.59,0,2015,10
2015-10-10,Huangascar,20.49,3.92,11.29,0.0,43.7,27.06,2.54,0,2015,10
2015-10-11,Huangascar,19.69,6.77,11.42,0.0,50.07,27.24,2.93,0,2015,10
2015-10-12,Huangascar,20.18,5.6,11.56,0.0,55.32,27.66,2.68,0,2015,10
2015-10-13,Huangascar,20.15,7.37,12.49,0.0,48.01,26.33,2.06,0,2015,10
2015-10-14,Huangascar,20.3,5.18,12.05,0.0,45.1,23.95,2.75,0,2015,10
2015-10-15,Huangascar,19.51,7.15,12.04,0.0,54.91,24.94,2.14,0,2015,10
